Speed [kmh],Congestion level [%],precipitation,weather_code,hour_sin,hour_cos,Optimal_Lighting_Level
-0.3478502381274591,-0.7153445617008991,-0.2032659310802924,3,0.0,1.0,50
0.368992546190678,-0.7667044885555486,-0.2032659310802924,3,0.2588190451025207,0.9659258262890684,50
0.7165526840418966,-0.936192247175892,-0.2032659310802924,3,0.4999999999999999,0.8660254037844387,50
0.8903327529675067,-1.1570399326508845,-0.2032659310802924,3,0.7071067811865475,0.7071067811865476,25
1.0206678046617124,-1.3213916985857628,-0.2032659310802924,3,0.8660254037844386,0.5000000000000001,25
0.9555002788146096,-1.3470716620130876,-0.2032659310802924,3,0.9659258262890684,0.2588190451025207,25
0.933777770198908,-1.3676156327549474,-0.2032659310802924,3,1.0,6.123233995736766e-17,25
0.9989452960460125,-1.316255705900298,-0.2032659310802924,3,0.9659258262890684,-0.2588190451025206,25
1.2813379080501266,-1.3624796400694823,-0.2032659310802924,3,0.8660254037844387,-0.4999999999999998,0
1.4551179769757352,-1.2905757424729731,-0.2032659310802924,3,0.7071067811865476,-0.7071067811865475,0
1.6071755372856438,-1.0902720277398403,-0.2032659310802924,3,0.4999999999999999,-0.8660254037844387,0
1.498562994207138,-0.9002402983776371,-0.2032659310802924,3,0.258819045102521,-0.9659258262890682,0
1.542008011438541,-0.8077924300392683,-0.2032659310802924,3,1.2246467991473532e-16,-1.0,0
1.3247829252815295,-0.7153445617008991,-0.2032659310802924,3,-0.2588190451025208,-0.9659258262890684,0
1.0641128218931153,-0.5818087518788104,-0.2032659310802924,3,-0.4999999999999997,-0.8660254037844388,0
0.8251652271204023,-0.4842248908549765,-0.2032659310802924,3,-0.7071067811865471,-0.7071067811865479,0
0.6731076668104953,-0.3969130152020725,-0.2032659310802924,3,-0.8660254037844384,-0.5000000000000004,0
0.5644951237319895,-0.3969130152020725,-0.2032659310802924,3,-0.9659258262890684,-0.2588190451025206,0
0.4993275978848852,-0.4842248908549765,-0.2032659310802924,3,-1.0,-1.8369701987210294e-16,50
0.4776050892691837,-0.5920807372497405,-0.2032659310802924,3,-0.9659258262890684,0.2588190451025203,50
0.4558825806534838,-0.6845286055881094,-0.2032659310802924,3,-0.8660254037844386,0.5000000000000001,50
0.5862176323476894,-0.8129284227247331,-0.2032659310802924,3,-0.7071067811865477,0.7071067811865474,50
0.6948301754261952,-0.9464642325468218,-0.2032659310802924,3,-0.5000000000000004,0.8660254037844384,50
0.8034427185047008,-1.0800000423689102,-0.2032659310802924,3,-0.2588190451025215,0.965925826289068,25
0.6731076668104953,-1.1673119180218146,0.2227880933799923,51,0.0,1.0,25
0.7599977012732996,-1.2597597863601833,1.5009501667608467,51,0.2588190451025207,0.9659258262890684,25
0.8251652271204023,-1.2597597863601833,1.9270041912211315,53,0.4999999999999999,0.8660254037844387,25
1.3030604166658282,-1.2957117351584382,1.074896142300562,51,0.7071067811865475,0.7071067811865476,25
2.3022958129880813,-1.3522076546985524,3.205166264601986,53,0.8660254037844386,0.5000000000000001,25
2.0633482182153684,-1.115951991167165,4.909382362443125,55,0.9659258262890684,0.2588190451025207,25
